,Age Group,Sex,Year,Count
All Sites Combined,55-59,F,2008.0,894.0
All Sites Combined,55-59,F,2009.0,962.0
All Sites Combined,55-59,F,2010.0,1008.0
All Sites Combined,55-59,F,2011.0,1106.0
All Sites Combined,55-59,M,1999.0,559.0
All Sites Combined,55-59,M,2000.0,707.0
All Sites Combined,55-59,M,2001.0,760.0
All Sites Combined,55-59,M,2002.0,943.0
All Sites Combined,55-59,M,2003.0,981.0
All Sites Combined,55-59,M,2004.0,1038.0
All Sites Combined,55-59,M,2005.0,1252.0
All Sites Combined,55-59,M,2006.0,1371.0
All Sites Combined,55-59,M,2007.0,1697.0
All Sites Combined,55-59,M,2008.0,1710.0
All Sites Combined,55-59,M,2009.0,1873.0
All Sites Combined,55-59,M,2010.0,2012.0
All Sites Combined,55-59,M,2011.0,2208.0
All Sites Combined,60-64,F,1999.0,351.0
All Sites Combined,60-64,F,2000.0,441.0
All Sites Combined,60-64,F,2001.0,419.0
All Sites Combined,60-64,F,2002.0,456.0
All Sites Combined,60-64,F,2003.0,578.0
All Sites Combined,60-64,F,2004.0,602.0
All Sites Combined,60-64,F,2005.0,659.0
All Sites Combined,60-64,F,2006.0,678.0
All Sites Combined,60-64,F,2007.0,853.0
All Sites Combined,60-64,F,2008.0,907.0
All Sites Combined,60-64,F,2009.0,959.0
All Sites Combined,60-64,F,2010.0,1017.0
All Sites Combined,60-64,F,2011.0,1064.0
All Sites Combined,60-64,M,1999.0,693.0
All Sites Combined,60-64,M,2000.0,822.0
All Sites Combined,60-64,M,2001.0,879.0
All Sites Combined,60-64,M,2002.0,947.0
All Sites Combined,60-64,M,2003.0,1067.0
All Sites Combined,60-64,M,2004.0,1181.0
All Sites Combined,60-64,M,2005.0,1325.0
All Sites Combined,60-64,M,2006.0,1611.0
All Sites Combined,60-64,M,2007.0,1982.0
All Sites Combined,60-64,M,2008.0,2050.0
All Sites Combined,60-64,M,2009.0,2378.0
All Sites Combined,60-64,M,2010.0,2615.0
All Sites Combined,60-64,M,2011.0,2947.0
All Sites Combined,65-69,F,1999.0,359.0
All Sites Combined,65-69,F,2000.0,388.0
All Sites Combined,65-69,F,2001.0,433.0
All Sites Combined,65-69,F,2002.0,480.0
All Sites Combined,65-69,F,2003.0,538.0
All Sites Combined,65-69,F,2004.0,548.0
All Sites Combined,65-69,F,2005.0,576.0
All Sites Combined,65-69,F,2006.0,673.0
All Sites Combined,65-69,F,2007.0,755.0
All Sites Combined,65-69,F,2008.0,792.0
All Sites Combined,65-69,F,2009.0,905.0
All Sites Combined,65-69,F,2010.0,907.0
All Sites Combined,65-69,F,2011.0,1015.0
All Sites Combined,65-69,M,1999.0,812.0
All Sites Combined,65-69,M,2000.0,786.0
All Sites Combined,65-69,M,2001.0,910.0
All Sites Combined,65-69,M,2002.0,1017.0
All Sites Combined,65-69,M,2003.0,1298.0
All Sites Combined,65-69,M,2004.0,1223.0
All Sites Combined,65-69,M,2005.0,1477.0
All Sites Combined,65-69,M,2006.0,1662.0
All Sites Combined,65-69,M,2007.0,2154.0
All Sites Combined,65-69,M,2008.0,2280.0
All Sites Combined,65-69,M,2009.0,2563.0
All Sites Combined,65-69,M,2010.0,2740.0
All Sites Combined,65-69,M,2011.0,3114.0
All Sites Combined,70-74,F,1999.0,378.0
All Sites Combined,70-74,F,2000.0,478.0
All Sites Combined,70-74,F,2001.0,401.0
All Sites Combined,70-74,F,2002.0,432.0
All Sites Combined,70-74,F,2003.0,497.0
All Sites Combined,70-74,F,2004.0,551.0
All Sites Combined,70-74,F,2005.0,552.0
All Sites Combined,70-74,F,2006.0,575.0
All Sites Combined,70-74,F,2007.0,700.0
All Sites Combined,70-74,F,2008.0,717.0
All Sites Combined,70-74,F,2009.0,791.0
All Sites Combined,70-74,F,2010.0,771.0
All Sites Combined,70-74,F,2011.0,881.0
All Sites Combined,70-74,M,1999.0,802.0
All Sites Combined,70-74,M,2000.0,885.0
All Sites Combined,70-74,M,2001.0,923.0
All Sites Combined,70-74,M,2002.0,1013.0
All Sites Combined,70-74,M,2003.0,1221.0
All Sites Combined,70-74,M,2004.0,1121.0
All Sites Combined,70-74,M,2005.0,1283.0
All Sites Combined,70-74,M,2006.0,1599.0
